Angle,120 Grit,220 Grit,600 Grit,1500 Grit
-75,1.07E-02,6.38E-03,4.33E-03,3.94E-03
-74.95,1.07E-02,6.39E-03,4.27E-03,3.89E-03
-74.9,1.07E-02,6.41E-03,4.26E-03,3.84E-03
-74.85,1.07E-02,6.47E-03,4.25E-03,3.86E-03
-74.8,1.07E-02,6.45E-03,4.27E-03,3.85E-03
-74.75,1.07E-02,6.35E-03,4.30E-03,3.88E-03
-74.7,1.06E-02,6.29E-03,4.28E-03,3.79E-03
-74.65,1.07E-02,6.23E-03,4.31E-03,3.85E-03
-74.6,1.07E-02,6.14E-03,4.33E-03,3.80E-03
-74.55,1.07E-02,6.08E-03,4.43E-03,3.83E-03
-74.5,1.07E-02,6.02E-03,4.49E-03,3.89E-03
-74.45,1.06E-02,6.01E-03,4.51E-03,3.88E-03
-74.4,1.05E-02,5.99E-03,4.57E-03,3.90E-03
-74.35,1.04E-02,6.01E-03,4.56E-03,3.89E-03
-74.3,1.03E-02,5.99E-03,4.58E-03,3.92E-03
-74.25,1.02E-02,6.01E-03,4.57E-03,3.91E-03
-74.2,1.01E-02,5.99E-03,4.55E-03,3.93E-03
-74.15,1.00E-02,5.93E-03,4.61E-03,3.92E-03
-74.1,1.00E-02,5.95E-03,4.60E-03,3.94E-03
-74.05,9.97E-03,5.93E-03,4.59E-03,4.00E-03
-74,9.94E-03,5.95E-03,4.61E-03,4.06E-03
-73.95,9.84E-03,5.90E-03,4.59E-03,4.09E-03
-73.9,9.77E-03,5.88E-03,4.58E-03,4.11E-03
-73.85,9.71E-03,5.86E-03,4.60E-03,4.13E-03
-73.8,9.71E-03,5.84E-03,4.59E-03,4.19E-03
-73.75,9.72E-03,5.82E-03,4.57E-03,4.18E-03
-73.7,9.76E-03,5.77E-03,4.56E-03,4.24E-03
-73.65,9.80E-03,5.79E-03,4.58E-03,4.26E-03
-73.6,9.81E-03,5.81E-03,4.57E-03,4.32E-03
-73.55,9.85E-03,5.79E-03,4.59E-03,4.34E-03
-73.5,9.86E-03,5.88E-03,4.58E-03,4.37E-03
-73.45,9.90E-03,5.90E-03,4.56E-03,4.39E-03
-73.4,9.94E-03,5.92E-03,4.59E-03,4.41E-03
-73.35,9.91E-03,5.90E-03,4.54E-03,4.43E-03
-73.3,9.88E-03,5.92E-03,4.52E-03,4.45E-03
-73.25,9.85E-03,5.97E-03,4.48E-03,4.44E-03
-73.2,9.79E-03,5.99E-03,4.46E-03,4.46E-03
-73.15,9.69E-03,6.04E-03,4.45E-03,4.45E-03
-73.1,9.63E-03,6.09E-03,4.40E-03,4.40E-03
-73.05,9.47E-03,6.17E-03,4.42E-03,4.42E-03
-73,9.37E-03,6.26E-03,4.38E-03,4.38E-03
-72.95,9.31E-03,6.38E-03,4.37E-03,4.40E-03
-72.9,9.25E-03,6.46E-03,4.35E-03,4.39E-03
-72.85,9.29E-03,6.51E-03,4.34E-03,4.37E-03
-72.8,9.37E-03,6.53E-03,4.36E-03,4.40E-03
-72.75,9.48E-03,6.58E-03,4.35E-03,4.35E-03
-72.7,9.55E-03,6.56E-03,4.37E-03,4.34E-03
-72.65,9.66E-03,6.64E-03,4.39E-03,4.33E-03
-72.6,9.70E-03,6.65E-03,4.41E-03,4.31E-03
-72.55,9.67E-03,6.70E-03,4.44E-03,4.34E-03
-72.5,9.61E-03,6.72E-03,4.46E-03,4.32E-03
